 ,Section,Preconditions,Test case,Test Steps,Expected Result,References,Pass/Fail,QA,Automation,Data
,Client Page,,"Preconditions: 
Test data: 07/12/2021
User registered, email verified and User Login to client base",,,,-,,No,
TC-cl-001,,,"Verify that end point = ""/client""","Click on ""Clients"" menu",End point url = /client,,Pass,,,
TC-cl-002,,,"Verify that ""Client"" link exist in the top menu with correct label and redirects to the correct page Clients","Click on ""Clients"" menu","Label = Clients, redirects to the Client page",,Pass,,,
TC-cl-003,,,Verify that page header = Client,Verify that page header = Client,Page header =Client,,Pass,,,
TC-cl-004,,,"1. Verify that Create Client button is active and user able to open form ""Create Client""",Click Create Client button,Create Client form (modal) opens,,Pass,,,
TC-cl-005,,,1. Verify that label Create Client button is 'Create Client',,Label = Create Client,,-,,,
TC-cl-006,,,"Preconditions:
Create Client form opens by clicking Create Client button

Verify that Create button exists and it is active always 

",,Create Client button exists and is active always,,-,,,
TC-cl-007,,,"
Verify that button's label is 'Create'",,Label = Create Client,,Pass,,,
TC-cl-008,,Open modal window,"
Verify that user can add (create) new client",1. Click Create Client button,Create Client form (modal) opens,,Pass,,,
,,,,"2. Add full name to the Full Name field - ""Alice Cooper""",Added,,Pass,,,
,,,,3. Add Phone number to the field Phone - 7075901867,Added,,Pass,,,
,,,,"4. Add Email to the Email field - ""alice@cooper.com""",Added,,Pass,,,
,,,,"5. Add Notes to the Notes field - ""Test""",Added,,Pass,,,
,,,,6. Click button Create,The Client (Alice Cooper) added to Clients dashboard,,Pass,,,
"TC-cl-009
",,,"Verify that name field accept only upper and lower case latin letters, numbers, special characters allow","1. Enter Upper case latin letters to Full name field: ""ABCDEFGHIJKLMNOPQRSTUVWXYZ""","1. No error appears, all upper case latin letters are visible",,Pass,,,
,,,,"2. Enter Lower case latin letters to Full name field: ""abcdefghijklmnopqrstuvwxyz""","2. No error appears, all lower case latin letters are visible",,Pass,,,
,,,,"3. Enter digits: ""1234567890'","3. No error appears, all digits are visible",,Pass,,,
,,,,"4. Enter special characters: ""!@#$%^&*()-_+={}[];:'|\'<>/?.,""","4. No error appears, all special characters are visible",,Pass,,,
,,,,,,,Pass,,,
TC-cl-010,,,"1. Verify that Full name field accepts (max) 200 characters
2. Verify that Full name field accepts 50 characters
3. Verify that Full name field accepts (min) 3 characters
4. Verify that Full name field accepts spaces
5. Verify that Full name field accepts copy&paste
","1. Enter 200 chars in the Full name field: ""WWWW""","1. No error appears, all 200 chars are visible ",,Pass,,,
,,,,"2. Enter 50 chars in the Full name field: ""frgtghjkjuhyghjhgtgfgjjikjklkjhgfdsgyhtghghghpl;'[pk""","2. No error appears, all 50 chars are visible ",,Pass,,,
,,,,"3. Enter 3 chars in the Full name field: ""i3?""","3. No error appears, ""i3?"" is visible ",,Pass,,,
,,,,"4. Enter spaces in the Full name field: ""Alice Cooper""",4. No error appears,,Pass,,,
,,,,"5. Copy ""Alice Cooper"" & paste into to the Full name field","
5. No error appears, ""Alice Cooper"" is visible",,Pass,,,
